	seconds_wall_clock	reads_per_minute	gbyte_memory	percent_cpu	cpu_hours	tool	threads
0	116.41	15462589.12464565	7.58492	2721	1.0347555555555554	utree	32
1	112.89	15944724.953494553	7.586948	2978	1.0034666666666667	utree	32
2	1979.34	909394.0404377218	7.273708	100	0.5498166666666666	utree	1
3	124.27	14484590.005632896	7.409492	1510	0.5523111111111111	utree	16
4	189.74	9486665.963950668	7.33508	773	0.4216444444444445	utree	8
5	189.8	9483667.017913593	7.33712	775	0.4217777777777778	utree	8
6	339.12	5307855.626326964	7.291756	394	0.3768	utree	4
7	189.7	9488666.315234581	7.33916	774	0.4215555555555555	utree	8
8	581.36	3096188.248245493	7.27112	199	0.3229777777777778	utree	2
9	124.41	14468290.330359295	7.417664	1507	0.5529333333333333	utree	16
10	683.27	2634390.504485782	7.284004	199	0.37959444444444446	utree	2
11	872.23	2063675.865310755	7.273708	100	0.24228611111111112	utree	1
12	339.89	5295831.004148401	7.29584	394	0.3776555555555555	utree	4
13	124.12	14502094.747019013	7.415632	1510	0.5516444444444445	utree	16
14	340.23	5290538.753196367	7.295844	394	0.37803333333333333	utree	4
15	112.86	15948963.31738437	7.584912	2979	1.0032	utree	32
16	1322.1	1361470.3880190605	7.273708	100	0.36724999999999997	utree	1
17	630.27	2855918.89190347	7.283072	199	0.35015	utree	2
18	704.57	2554749.705494131	9.991268	1328	6.262844444444445	centrifuge	32
19	722.05	2492902.153590472	9.993228	1368	6.418222222222222	centrifuge	32
20	2898.59	620991.5855640155	9.185084	100	0.8051638888888889	centrifuge	1
21	579.72	3104947.2158973296	9.582584	516	2.5765333333333333	centrifuge	16
22	638.83	2817651.0182677708	9.36826	342	1.4196222222222223	centrifuge	8
23	637.58	2823175.1309639574	9.371984	342	1.4168444444444446	centrifuge	8
24	825.95	2179308.6748592528	9.262228	248	0.9177222222222223	centrifuge	4
25	637.5	2823529.411764706	9.371424	342	1.4166666666666667	centrifuge	8
26	1470.74	1223873.6962345485	9.20928	171	0.8170777777777778	centrifuge	2
27	575.75	3126356.925749023	9.583592	512	2.5588888888888888	centrifuge	16
28	1474.11	1221075.7677513892	9.208556	171	0.81895	centrifuge	2
29	2897.05	621321.6893046374	9.185084	100	0.8047361111111112	centrifuge	1
30	834.49	2157006.075567113	9.263092	247	0.9272111111111111	centrifuge	4
31	573.94	3136216.3292330205	9.587512	508	2.5508444444444445	centrifuge	16
32	830.87	2166403.88989854	9.26344	247	0.923188888888889	centrifuge	4
33	701.98	2564175.617538961	9.991708	1351	6.239822222222222	centrifuge	32
34	2896.1	621525.4998100895	9.184364	100	0.8044722222222221	centrifuge	1
35	1469.89	1224581.4312635637	9.208212	171	0.8166055555555556	centrifuge	2
36	662.26	2717965.7536315043	28.952564	3053	5.886755555555555	bowtie2	32
37	646.31	2785041.234082716	29.096924	3112	5.744977777777777	bowtie2	32
38	15468.0	116369.27851047323	28.270244	101	4.296666666666667	bowtie2	1
39	1001.46	1797375.831286322	29.073928	1589	4.450933333333333	bowtie2	16
40	1913.03	940915.7200880279	28.643116	803	4.2511777777777775	bowtie2	8
41	1977.54	910221.7907096697	28.644392	778	4.394533333333333	bowtie2	8
42	3645.0	493827.16049382713	28.430972	403	4.05	bowtie2	4
43	1919.11	937934.7718473668	28.645692	803	4.264688888888888	bowtie2	8
44	8345.0	215698.02276812462	28.324324	202	4.636111111111111	bowtie2	2
45	1012.35	1778041.1912875983	29.076116	1580	4.499333333333333	bowtie2	16
46	7847.0	229387.02688925705	28.324492	202	4.359444444444445	bowtie2	2
47	17766.0	101317.12259371833	28.270244	100	4.935	bowtie2	1
48	3734.0	482056.77557579003	28.4309	396	4.148888888888889	bowtie2	4
49	1015.08	1773259.2505024236	29.048404	1578	4.511466666666667	bowtie2	16
50	3653.0	492745.6884752258	28.431716	403	4.058888888888889	bowtie2	4
51	645.81	2787197.472940958	29.107112	3111	5.740533333333333	bowtie2	32
52	15711.0	114569.40996753865	28.270244	101	4.364166666666667	bowtie2	1
53	7992.0	225225.22522522524	28.324516	202	4.44	bowtie2	2
54	1876.93	959012.8561001209	161.44142	2906	16.683822222222222	burst	32
55	1517.39	1186247.438035047	161.441616	2851	13.487911111111112	burst	32
56	34396.0	52331.66647284568	161.08318	99	9.554444444444444	burst	1
57	2546.85	706755.4037340244	161.25406	1504	11.319333333333333	burst	16
58	4489.0	400980.17375807534	161.185552	775	9.975555555555555	burst	8
59	4477.0	402054.947509493	161.188504	776	9.948888888888888	burst	8
60	8334.0	215982.7213822894	161.125556	393	9.26	burst	4
61	4500.0	400000.0	161.90916	778	10.0	burst	8
62	16500.0	109090.90909090909	161.099076	198	9.166666666666666	burst	2
63	2497.56	720703.4065247682	161.256776	1515	11.100266666666666	burst	16
64	16235.0	110871.57376039421	161.099076	198	9.019444444444444	burst	2
65	34395.0	52333.18796336677	161.08318	99	9.554166666666667	burst	1
66	8360.0	215311.004784689	161.125556	393	9.28888888888889	burst	4
67	2565.01	701751.6500910327	161.25514	1501	11.400044444444445	burst	16
68	8304.0	216763.0057803468	161.125568	394	9.226666666666667	burst	4
69	1583.46	1136751.1651699443	161.44298	2854	14.0752	burst	32
70	33833.0	53202.494605858185	161.08318	99	9.398055555555555	burst	1
71	16579.0	108571.08390132095	161.099076	199	9.210555555555555	burst	2
72	172.28	10448107.731599722	126.869192	1085	1.5313777777777777	kraken	32
73	163.79	10989681.909762502	126.87502	1107	1.455911111111111	kraken	32
74	1719.76	1046657.6731636972	126.74566	100	0.4777111111111111	kraken	1
75	168.4	10688836.104513064	126.810484	1046	0.7484444444444445	kraken	16
76	232.45	7743600.774360077	126.777228	705	0.5165555555555555	kraken	8
77	231.84	7763975.155279503	126.777332	703	0.5152	kraken	8
78	393.96	4568991.775814803	126.757648	392	0.4377333333333333	kraken	4
79	234.12	7688364.941055869	126.777208	705	0.5202666666666667	kraken	8
80	748.62	2404424.14041837	126.749744	198	0.4159	kraken	2
81	168.48	10683760.683760684	126.810484	1047	0.7487999999999999	kraken	16
82	751.25	2396006.6555740433	126.749724	199	0.4173611111111111	kraken	2
83	1602.03	1123574.4648976612	126.74566	100	0.44500833333333334	kraken	1
84	396.34000000000003	4541555.230357774	126.757584	392	0.4403777777777778	kraken	4
85	170.51	10556565.59732567	126.810236	1037	0.7578222222222222	kraken	16
86	393.38	4575728.303421629	126.757616	393	0.43708888888888886	kraken	4
87	162.24	11094674.556213018	126.875188	1126	1.4421333333333335	kraken	32
88	1605.88	1120880.7631952574	126.74566	99	0.4460777777777778	kraken	1
89	709.93	2535461.242657727	126.749712	198	0.3944055555555555	kraken	2
