,aligner,depth,tp,fp,fn,precision,recall,f1,level,site,spearman,pearson,jaccard,depth_log10
60,BURST 95,100047,93388,1297,5362,0.9863019485662988,0.9457012658227848,0.9660016071945419,species,stool,0.9492360565821524,0.9935900282214064,1.0,5.0
61,BURST 95,100047,94615,268,5164,0.9971754687351791,0.9482456228264464,0.9727105457808127,species,oral,0.9824183181764724,0.9935366273169955,0.9900990099009901,5.0
62,BURST 95,100047,93769,104,6174,0.9988921202049578,0.9382247881292337,0.9685584541670957,species,skin,0.9842184552962128,0.9344085165350873,0.7058823529411765,5.0
63,BURST 95,100047,93447,1308,5292,0.986195979104005,0.9464041564123599,0.9663000677581824,species,stool,0.9635551428389124,0.9936785799505791,1.0,5.0
64,BURST 95,100047,93825,271,5951,0.997119962591396,0.9403563983322643,0.9687381804618301,species,oral,0.969053598298004,0.9666303428444032,0.9900990099009901,5.0
65,BURST 95,100047,94313,129,5605,0.9986340822938947,0.9439040012810505,0.9712690417874725,species,skin,0.9978200029612534,0.9465372542622466,0.7450980392156863,5.0
66,BURST 95,100047,93482,1291,5274,0.9863779768499468,0.946595649884564,0.9664868133672554,species,stool,0.9634234526528794,0.9933438341375405,1.0,5.0
67,BURST 95,100047,93867,270,5910,0.9971318397654483,0.9407679124447518,0.9689498761051001,species,oral,0.9741651689751772,0.969168767725231,1.0,5.0
68,BURST 95,100047,94216,123,5708,0.9986961913948632,0.9428765862055162,0.9707863888001897,species,skin,0.9825107936377215,0.9481231619581577,0.693069306930693,5.0
69,BURST 95,100047,93018,1246,5783,0.9867818042943223,0.9414682037631198,0.964125004028721,species,stool,0.9712837096754887,0.9940650379467044,1.0,5.0
70,BURST 95,100047,94123,289,5635,0.9969389484387577,0.9435133021913029,0.9702261253150304,species,oral,0.978208823994438,0.9920252919942881,1.0,5.0
71,BURST 95,100047,94018,111,5918,0.9988207672449511,0.9407821005443484,0.9698014338946497,species,skin,0.9722274054979521,0.9372006610357089,0.7623762376237624,5.0
72,BURST 95,100047,93109,1326,5612,0.985958595859586,0.9431529259225494,0.9645557608910678,species,stool,0.9802762283685171,0.9947489359466217,1.0,5.0
73,BURST 95,100047,93544,282,6221,0.9969944365101358,0.9376434621360197,0.9673189493230777,species,oral,0.9678581441015879,0.9670391465480763,1.0,5.0
74,BURST 95,100047,93968,126,5953,0.9986609135545306,0.9404229341179532,0.9695419238362419,species,skin,0.9556963762789624,0.9295190433167206,0.7326732673267327,5.0
75,BURST 98,100047,49247,701,50099,0.985965404020181,0.4957119561935055,0.7408386801068432,species,stool,0.9802315698765299,0.9927536142879513,1.0,5.0
76,BURST 98,100047,50046,139,49862,0.9972302480820963,0.5009208471794051,0.7490755476307507,species,oral,0.9776917973156196,0.9445876333115135,1.0,5.0
77,BURST 98,100047,49609,64,50374,0.9987115736919453,0.4961743496394387,0.747442961665692,species,skin,0.9524034528783198,0.8907303763262333,0.47,5.0
78,BURST 98,100047,49314,698,50035,0.986043349596097,0.4963713776686227,0.7412073636323598,species,stool,0.9716482621643524,0.9933310632864962,1.0,5.0
79,BURST 98,100047,49914,139,49994,0.9972229436796995,0.49959963166112825,0.7484112876704139,species,oral,0.9790653076935065,0.9698507493531059,1.0,5.0
80,BURST 98,100047,49734,73,50240,0.9985343425622905,0.4974693420289275,0.748001842295609,species,skin,0.9482765139769007,0.8880503256480231,0.49504950495049505,5.0
81,BURST 98,100047,48943,677,50427,0.9863563079403467,0.49253295763308846,0.7394446327867176,species,stool,0.971768140896427,0.9930080810791367,1.0,5.0
82,BURST 98,100047,49703,121,50223,0.9975714515093128,0.49739807457518564,0.7474847630422492,species,oral,0.9760899620565485,0.947933333094631,1.0,5.0
83,BURST 98,100047,50145,74,49828,0.9985264541309067,0.5015854280655777,0.7500559410982421,species,skin,0.9620962570289558,0.8903604835136976,0.46534653465346537,5.0
84,BURST 98,100047,48729,730,50588,0.9852403000465032,0.49064107856660993,0.7379406893065565,species,stool,0.9716015309477433,0.9923735654480268,1.0,5.0
85,BURST 98,100047,49538,132,50377,0.9973424602375679,0.495801431216534,0.746571945727051,species,oral,0.9708367709578075,0.9462592630004353,1.0,5.0
86,BURST 98,100047,49742,66,50239,0.9986749116607774,0.49751452776027444,0.7480947197105259,species,skin,0.9780640946758681,0.894047371234964,0.46534653465346537,5.0
87,BURST 98,100047,49620,728,49699,0.9855406371653294,0.49960229160583575,0.7425714643855825,species,stool,0.9896483257055178,0.9930158492771013,1.0,5.0
88,BURST 98,100047,50062,135,49850,0.997310596250772,0.501060933621587,0.7491857649361795,species,oral,0.983898822996095,0.9675084640161116,1.0,5.0
89,BURST 98,100047,50038,63,49946,0.9987425400690605,0.5004600736117779,0.7496013068404193,species,skin,0.9835309569063109,0.9006299905642332,0.49,5.0
90,BURST 95,999923,931686,12740,55497,0.9865103247898723,0.9437824597870912,0.9651463922884818,species,stool,0.931293868401637,0.9899384824818956,0.9523809523809523,6.0
91,BURST 95,999923,942856,2749,54318,0.9970928664717298,0.9455280623040713,0.9713104643879005,species,oral,0.9698998529998606,0.9833869087726695,0.9433962264150944,6.0
92,BURST 95,999923,941370,1296,57257,0.9986251758311003,0.9426642780537678,0.9706447269424341,species,skin,0.957931310380909,0.984933342821599,0.970873786407767,6.0
93,BURST 95,999923,931668,12919,55336,0.9863231232273999,0.9439353842537619,0.9651292537405809,species,stool,0.9316216834623663,0.9929540627016107,0.9615384615384616,6.0
94,BURST 95,999923,941835,2788,55300,0.997048557996153,0.9445411102809549,0.9707948341385539,species,oral,0.9554580111231883,0.9549618393905007,0.9345794392523364,6.0
95,BURST 95,999923,942767,1186,55970,0.9987435815130626,0.9439592204954858,0.9713514010042742,species,skin,0.9582405645837538,0.9815831648811171,0.9523809523809523,6.0
96,BURST 95,999923,931845,12728,55350,0.9865251282854792,0.9439320498989562,0.9652285890922176,species,stool,0.9314007149418436,0.9898241093169973,0.970873786407767,6.0
97,BURST 95,999923,942827,2945,54151,0.9968861416916551,0.9456848596458498,0.9712855006687524,species,oral,0.968227763035617,0.984255218546797,0.9433962264150944,6.0
98,BURST 95,999923,941575,1240,57108,0.9986847896989335,0.9428166895801771,0.9707507396395553,species,skin,0.9666074671351479,0.9818491552283578,0.9615384615384616,6.0
99,BURST 95,999923,931506,12719,55698,0.986529693664116,0.9435800503239452,0.9650548719940306,species,stool,0.9312698439435095,0.9911502538546979,0.9433962264150944,6.0
100,BURST 95,999923,940004,2799,57120,0.9970311931548796,0.9427152490562859,0.9698732211055827,species,oral,0.9694076668712011,0.9831635359827952,0.9345794392523364,6.0
101,BURST 95,999923,942439,1310,56174,0.998611919058987,0.9437479784461047,0.9711799487525459,species,skin,0.9493001545125888,0.9809491603979187,0.9433962264150944,6.0
102,BURST 95,999923,931285,12822,55816,0.9864189122631227,0.9434546211583212,0.964936766710722,species,stool,0.9313879247943495,0.9906020755451916,0.9523809523809523,6.0
103,BURST 95,999923,942290,2920,54713,0.9969107394124057,0.9451225322290906,0.9710166358207482,species,oral,0.9686908514227517,0.9834662079766159,0.9345794392523364,6.0
104,BURST 95,999923,942864,1203,55856,0.9987257260342751,0.9440724126882409,0.971399069361258,species,skin,0.9488860197191353,0.9827122931816485,0.9615384615384616,6.0
105,BURST 98,999923,491930,6841,501152,0.9862842867768976,0.4953568788881482,0.740820582832523,species,stool,0.9427410557758977,0.9931093278273286,0.9615384615384616,6.0
106,BURST 98,999923,496487,1475,501961,0.9970379265887759,0.4972587455731295,0.7471483360809527,species,oral,0.970604268287416,0.9866037804951232,0.9615384615384616,6.0
107,BURST 98,999923,496779,634,502510,0.9987254052467467,0.4971324611798989,0.7479289332133228,species,skin,0.9490160879495873,0.9788951844716445,0.9803921568627451,6.0
108,BURST 98,999923,491951,6907,501065,0.9861543765961456,0.4954109500753261,0.7407826633357358,species,stool,0.936954871059107,0.9920250154280416,0.970873786407767,6.0
109,BURST 98,999923,497749,1503,500671,0.9969894962864445,0.49853668796698786,0.7477630921267162,species,oral,0.947247794918371,0.9296859871590378,0.9803921568627451,6.0
110,BURST 98,999923,497310,619,501994,0.9987568508763297,0.4976563688327076,0.7482066098545186,species,skin,0.9409720491212273,0.976673249616053,0.970873786407767,6.0
111,BURST 98,999923,491225,6623,502075,0.9866967427809291,0.494538407329105,0.740617575055017,species,stool,0.9427744601647748,0.991352891332837,0.970873786407767,6.0
112,BURST 98,999923,497796,1517,500610,0.9969618255483034,0.49859075366133615,0.7477762896048198,species,oral,0.9565441831463054,0.9562214082771884,0.9803921568627451,6.0
113,BURST 98,999923,497071,658,502194,0.9986779954553583,0.49743661591269583,0.7480573056840271,species,skin,0.9572356646900128,0.9758375043027879,0.970873786407767,6.0
114,BURST 98,999923,491461,6824,501638,0.9863050262400032,0.4948761402438226,0.7405905832419128,species,stool,0.9428603602089803,0.9920605769979882,0.970873786407767,6.0
115,BURST 98,999923,498725,1491,499707,0.9970192876677275,0.4995082289029198,0.7482637582853237,species,oral,0.9578148553433126,0.9587658082361628,0.970873786407767,6.0
116,BURST 98,999923,498228,599,501096,0.9987991828830436,0.49856502996025315,0.7486821064216483,species,skin,0.9574393364497377,0.9796524496689831,0.9803921568627451,6.0
117,BURST 98,999923,491346,6781,501796,0.98638700572344,0.4947389195099996,0.7405629626167198,species,stool,0.931315855072136,0.9922802175099676,0.970873786407767,6.0
118,BURST 98,999923,498970,1522,499431,0.9969589923515261,0.4997691308402135,0.7483640615958698,species,oral,0.9708416016554244,0.9879568868053757,0.9615384615384616,6.0
119,BURST 98,999923,497924,590,501409,0.9988164825862463,0.4982563369767635,0.7485364097815049,species,skin,0.9672976973885072,0.978761935957982,0.9803921568627451,6.0
120,BURST 95,10000001,9320301,128145,551555,0.9864374522540532,0.94412854077288,0.9652829965134666,species,stool,0.9093031276057206,0.9736509600748706,0.7692307692307693,7.0
121,BURST 95,10000001,9416476,28436,555089,0.996989278460191,0.9443328103462195,0.9706610444032053,species,oral,0.9678281628663008,0.9660435246572582,0.6756756756756757,7.0
122,BURST 95,10000001,9418486,12742,568773,0.9986489564243384,0.9430501401836079,0.9708495483039732,species,skin,0.910449859692922,0.972083551544042,0.7936507936507936,7.0
123,BURST 98,10000001,4918186,67585,5014230,0.9864444235405115,0.495165123973865,0.7408047737571882,species,stool,0.9093031276057206,0.9786368508292047,0.847457627118644,7.0
124,BURST 98,10000001,4976277,14843,5008881,0.997026118386254,0.49836737686073673,0.7476967476234954,species,oral,0.96819041359204,0.9700945726295084,0.7692307692307693,7.0
125,BURST 98,10000001,4977235,6352,5016414,0.9987254160507281,0.49803980508020645,0.7483826105654673,species,skin,0.9345345973048216,0.9762486134846013,0.8849557522123894,7.0
0,BURST 95 Taxonomy,1012,883,0,129,1.0,0.8725296442687747,0.9362648221343873,species,stool,0.9737118153328563,0.921985059785824,0.25,3.0
1,BURST 95 Taxonomy,1012,908,0,104,1.0,0.8972332015810277,0.9486166007905139,species,oral,0.9463260715925785,0.799372587045824,0.35,3.0
2,BURST 95 Taxonomy,1012,967,0,45,1.0,0.9555335968379447,0.9777667984189724,species,skin,0.6419369220536172,0.6824007293735045,0.07,3.0
3,BURST 95 Taxonomy,1012,864,0,148,1.0,0.8537549407114624,0.9268774703557312,species,stool,0.9334892341090701,0.8675842045925362,0.24,3.0
4,BURST 95 Taxonomy,1012,921,0,91,1.0,0.9100790513833992,0.9550395256916996,species,oral,0.9375967573516778,0.8254843952674308,0.37,3.0
5,BURST 95 Taxonomy,1012,887,0,125,1.0,0.8764822134387352,0.9382411067193677,species,skin,0.533709017561547,0.6672891498813116,0.06,3.0
6,BURST 95 Taxonomy,1012,890,0,122,1.0,0.8794466403162056,0.9397233201581028,species,stool,0.9813868183882478,0.9254021335245457,0.23,3.0
7,BURST 95 Taxonomy,1012,954,0,58,1.0,0.9426877470355731,0.9713438735177866,species,oral,0.9306297882239184,0.8510160058371113,0.43,3.0
8,BURST 95 Taxonomy,1012,926,0,86,1.0,0.9150197628458498,0.9575098814229249,species,skin,0.6785227270516957,0.6849575681588776,0.07,3.0
9,BURST 95 Taxonomy,1012,934,0,78,1.0,0.9229249011857708,0.9614624505928854,species,stool,0.9466250931175841,0.889524991456101,0.24,3.0
10,BURST 95 Taxonomy,1012,915,0,97,1.0,0.9041501976284585,0.9520750988142292,species,oral,0.9163067181140744,0.7951968178051654,0.39,3.0
11,BURST 95 Taxonomy,1012,931,2,79,0.9978563772775991,0.9217821782178218,0.9598192777477105,species,skin,0.5896932007816544,0.6794852545797048,0.06,3.0
12,BURST 95 Taxonomy,1012,893,0,119,1.0,0.8824110671936759,0.9412055335968379,species,stool,0.959751795935058,0.9139111847926442,0.25,3.0
13,BURST 95 Taxonomy,1012,976,0,36,1.0,0.9644268774703557,0.9822134387351779,species,oral,0.9377795289667582,0.8130632516590297,0.42,3.0
14,BURST 95 Taxonomy,1012,898,0,114,1.0,0.8873517786561265,0.9436758893280632,species,skin,0.5446413696111808,0.6640821145573103,0.06,3.0
15,BURST 98 Taxonomy,1012,478,0,534,1.0,0.4723320158102767,0.7361660079051383,species,stool,0.8981105412391361,0.8300952230248626,0.18,3.0
16,BURST 98 Taxonomy,1012,476,0,536,1.0,0.47035573122529645,0.7351778656126482,species,oral,0.9009716905047571,0.7472498078036335,0.21,3.0
17,BURST 98 Taxonomy,1012,498,0,514,1.0,0.49209486166007904,0.7460474308300395,species,skin,0.5473744576235893,0.6570635021724174,0.04,3.0
18,BURST 98 Taxonomy,1012,454,0,558,1.0,0.44861660079051385,0.724308300395257,species,stool,0.9572042059708045,0.8973266154097073,0.19,3.0
19,BURST 98 Taxonomy,1012,488,1,523,0.9979550102249489,0.4826904055390702,0.7403227078820096,species,oral,0.9158430995507383,0.8003727110253208,0.22,3.0
20,BURST 98 Taxonomy,1012,469,0,543,1.0,0.4634387351778656,0.7317193675889329,species,skin,0.5179196437706826,0.6152668494493182,0.04,3.0
21,BURST 98 Taxonomy,1012,514,0,498,1.0,0.5079051383399209,0.7539525691699605,species,stool,0.9247370300267729,0.856633526698325,0.17,3.0
22,BURST 98 Taxonomy,1012,511,0,501,1.0,0.5049407114624506,0.7524703557312253,species,oral,0.9288028500749685,0.8213240534825057,0.27,3.0
23,BURST 98 Taxonomy,1012,486,0,526,1.0,0.48023715415019763,0.7401185770750989,species,skin,0.5611239927013979,0.6604402642749647,0.04,3.0
24,BURST 98 Taxonomy,1012,482,1,529,0.9979296066252588,0.47675568743818003,0.7373426470317194,species,stool,0.901683492037471,0.8460590010872997,0.15,3.0
25,BURST 98 Taxonomy,1012,492,0,520,1.0,0.48616600790513836,0.7430830039525692,species,oral,0.9250724983006653,0.7944696861632748,0.24,3.0
26,BURST 98 Taxonomy,1012,489,0,523,1.0,0.48320158102766797,0.741600790513834,species,skin,0.5210060364848024,0.6529287144890449,0.04,3.0
27,BURST 98 Taxonomy,1012,462,0,550,1.0,0.45652173913043476,0.7282608695652174,species,stool,0.9597393742215271,0.8998570297675462,0.19,3.0
28,BURST 98 Taxonomy,1012,528,0,484,1.0,0.5217391304347826,0.7608695652173914,species,oral,0.934819439964622,0.8276630397965085,0.28,3.0
29,BURST 98 Taxonomy,1012,463,0,549,1.0,0.4575098814229249,0.7287549407114624,species,skin,0.5149932857587356,0.615191317015116,0.04,3.0
30,BURST 95 Taxonomy,9992,9197,2,793,0.9997825850635939,0.9206206206206207,0.9602016028421072,species,stool,0.9996925500316106,0.984866987916747,0.79,4.0
31,BURST 95 Taxonomy,9992,9190,1,801,0.9998911979109999,0.9198278450605545,0.9598595214857772,species,oral,0.9696876905343449,0.8786413027544239,0.98,4.0
32,BURST 95 Taxonomy,9992,9250,3,739,0.9996757808278396,0.9260186204825308,0.9628472006551851,species,skin,0.8949718404019882,0.7927375480174716,0.16,4.0
33,BURST 95 Taxonomy,9992,9188,5,799,0.9994561079081911,0.9199959947932312,0.9597260513507111,species,stool,0.9855664707136274,0.9541980670433589,0.81,4.0
34,BURST 95 Taxonomy,9992,9381,2,609,0.9997868485558989,0.9390390390390391,0.969412943797469,species,oral,0.996214918287996,0.9912312130815724,1.0,4.0
35,BURST 95 Taxonomy,9992,9150,2,840,0.9997814685314685,0.9159159159159159,0.9578486922236922,species,skin,0.7652521182885836,0.7438680139846418,0.17,4.0
36,BURST 95 Taxonomy,9992,9210,1,781,0.9998914341548149,0.9218296466820138,0.9608605404184143,species,stool,0.9997836509000372,0.9792608290776333,0.78,4.0
37,BURST 95 Taxonomy,9992,9184,0,808,1.0,0.9191353082465973,0.9595676541232987,species,oral,0.9896500709477959,0.9666848908935941,0.96,4.0
38,BURST 95 Taxonomy,9992,9218,1,773,0.9998915283653325,0.9226303673305976,0.961260947847965,species,skin,0.795841197609011,0.7484948208427202,0.15,4.0
39,BURST 95 Taxonomy,9992,9011,1,980,0.9998890368397692,0.9019117205484937,0.9509003786941315,species,stool,0.9855549173730421,0.9614175632247263,0.8,4.0
40,BURST 95 Taxonomy,9992,9324,0,668,1.0,0.9331465172137711,0.9665732586068856,species,oral,0.9801740107341964,0.9427958134001916,0.99,4.0
41,BURST 95 Taxonomy,9992,8958,2,1032,0.9997767857142857,0.8966966966966967,0.9482367412054913,species,skin,0.8214776137713723,0.7618190203512876,0.17,4.0
42,BURST 95 Taxonomy,9992,9033,1,958,0.9998893070622095,0.9041137023320989,0.9520015046971542,species,stool,0.984139047774358,0.9528273907084791,0.82,4.0
43,BURST 95 Taxonomy,9992,9272,1,719,0.9998921600345088,0.9280352317085376,0.9639636958715232,species,oral,0.9898285013487176,0.9659014901881876,0.96,4.0
44,BURST 95 Taxonomy,9992,9237,2,753,0.9997835263556663,0.9246246246246246,0.9622040754901454,species,skin,0.7633067735651079,0.7242863240423597,0.15,4.0
45,BURST 98 Taxonomy,9992,4877,0,5115,1.0,0.4880904723779023,0.7440452361889511,species,stool,0.9693215827854262,0.9279278884589603,0.56,4.0
46,BURST 98 Taxonomy,9992,4915,1,5076,0.9997965825874695,0.4919427484736263,0.7458696655305479,species,oral,0.980418488825536,0.9391633792963621,0.87,4.0
47,BURST 98 Taxonomy,9992,4728,1,5263,0.9997885388031297,0.4732259033129817,0.7365072210580557,species,skin,0.6728290478334011,0.6995461384812033,0.13,4.0
48,BURST 98 Taxonomy,9992,4729,2,5261,0.9995772563939971,0.4733733733733734,0.7364753148836852,species,stool,0.9996925565148616,0.9769801130292746,0.59,4.0
49,BURST 98 Taxonomy,9992,4925,4,5063,0.9991884763643741,0.4930917100520625,0.7461400932082183,species,oral,0.9940088471187328,0.9862812894590544,0.88,4.0
50,BURST 98 Taxonomy,9992,4804,1,5187,0.9997918834547347,0.4808327494745271,0.7403123164646309,species,skin,0.8423374768010714,0.7359367219262134,0.16,4.0
