,aligner,depth,tp,fp,fn,precision,recall,f1,level,site,spearman,pearson,jaccard,depth_log10
0,BURST 95,1012,901,15,96,0.9836244541484717,0.9037111334002006,0.9436677937743361,species,stool,0.9713003989737479,0.9201566214657433,0.25,3.0
1,BURST 95,1012,919,2,91,0.997828447339848,0.9099009900990099,0.9538647187194289,species,oral,0.9464227862925474,0.7998213427703623,0.35,3.0
2,BURST 95,1012,1002,1,9,0.9990029910269193,0.9910979228486647,0.995050456937792,species,skin,0.6419369220536172,0.6812637513348847,0.07,3.0
3,BURST 95,1012,894,9,109,0.9900332225913622,0.8913260219341974,0.9406796222627798,species,stool,0.9333945822880733,0.8666726270326343,0.22,3.0
4,BURST 95,1012,929,5,78,0.9946466809421841,0.9225422045680238,0.958594442755104,species,oral,0.938274108272443,0.8252103715398256,0.38,3.0
5,BURST 95,1012,912,1,99,0.9989047097480832,0.9020771513353115,0.9504909305416973,species,skin,0.4722953014234369,0.6636236226642154,0.06,3.0
6,BURST 95,1012,909,17,86,0.9816414686825053,0.91356783919598,0.9476046539392426,species,stool,0.9703892833586982,0.9236220229479516,0.23,3.0
7,BURST 95,1012,961,2,49,0.9979231568016614,0.9514851485148514,0.9747041526582565,species,oral,0.9308746459550707,0.8511002309849891,0.43,3.0
8,BURST 95,1012,950,2,60,0.9978991596638656,0.9405940594059405,0.969246609534903,species,skin,0.6785227270516957,0.6849963972182839,0.07,3.0
9,BURST 95,1012,953,14,45,0.9855222337125129,0.9549098196392786,0.9702160266758957,species,stool,0.9459081229384303,0.8901629732144992,0.24,3.0
10,BURST 95,1012,921,0,91,1.0,0.9100790513833992,0.9550395256916996,species,oral,0.9322163527732887,0.8134806767633035,0.4,3.0
11,BURST 95,1012,965,4,43,0.9958720330237358,0.9573412698412699,0.9766066514325029,species,skin,0.5896932007816544,0.6794403101127708,0.06,3.0
12,BURST 95,1012,926,10,76,0.9893162393162394,0.9241516966067864,0.9567339679615129,species,stool,0.9449905143487233,0.9106162653938424,0.26,3.0
13,BURST 95,1012,987,2,23,0.9979777553083923,0.9772277227722772,0.9876027390403348,species,oral,0.9420997549528766,0.8313975470593521,0.44,3.0
14,BURST 95,1012,925,0,87,1.0,0.9140316205533597,0.9570158102766799,species,skin,0.5446413696111808,0.6631608617052203,0.06,3.0
15,BURST 98,1012,488,6,518,0.9878542510121457,0.4850894632206759,0.7364718571164108,species,stool,0.8980604639834981,0.8279544496086998,0.17,3.0
16,BURST 98,1012,484,5,523,0.9897750511247444,0.48063555114200596,0.7352053011333752,species,oral,0.9007752850257046,0.7472466590770254,0.21,3.0
17,BURST 98,1012,510,1,501,0.9980430528375733,0.5044510385756676,0.7512470457066205,species,skin,0.5473744576235893,0.6569859904039362,0.04,3.0
18,BURST 98,1012,465,12,535,0.9748427672955975,0.465,0.7199213836477988,species,stool,0.956968331003216,0.894623027242902,0.18,3.0
19,BURST 98,1012,492,2,518,0.9959514170040485,0.4871287128712871,0.7415400649376678,species,oral,0.9077259674531302,0.7981391925851825,0.22,3.0
20,BURST 98,1012,479,3,530,0.9937759336099585,0.47472745292368684,0.7342516932668227,species,skin,0.5179196437706826,0.6154042083238584,0.04,3.0
21,BURST 98,1012,530,5,477,0.9906542056074766,0.5263157894736842,0.7584849975405804,species,stool,0.9250280489971728,0.8564137375842815,0.17,3.0
22,BURST 98,1012,516,1,495,0.9980657640232108,0.5103857566765578,0.7542257603498843,species,oral,0.9290885609980457,0.8217422705034008,0.27,3.0
23,BURST 98,1012,502,0,510,1.0,0.49604743083003955,0.7480237154150198,species,skin,0.5611239927013979,0.6606069455716872,0.04,3.0
24,BURST 98,1012,497,11,504,0.9783464566929134,0.4965034965034965,0.7374249765982049,species,stool,0.8818220617271189,0.8229421330022102,0.15,3.0
25,BURST 98,1012,492,2,518,0.9959514170040485,0.4871287128712871,0.7415400649376678,species,oral,0.8962858605092625,0.7494199324102864,0.24,3.0
26,BURST 98,1012,506,0,506,1.0,0.5,0.75,species,skin,0.5210060364848024,0.6497888260666245,0.04,3.0
27,BURST 98,1012,486,4,522,0.9918367346938776,0.48214285714285715,0.7369897959183673,species,stool,0.9601646323717018,0.898178686766771,0.18,3.0
28,BURST 98,1012,531,2,479,0.9962476547842402,0.5257425742574258,0.7609951145208329,species,oral,0.9404263924486822,0.8439842402552018,0.29,3.0
29,BURST 98,1012,480,1,531,0.997920997920998,0.47477744807121663,0.7363492229961073,species,skin,0.5149932857587356,0.6154665552885983,0.04,3.0
30,BURST 95,9992,9437,128,427,0.9866178776790382,0.9567112733171127,0.9716645754980755,species,stool,0.9893212229210765,0.9844423687639234,0.8,4.0
31,BURST 95,9992,9277,26,689,0.9972052026228099,0.9308649407987156,0.9640350717107627,species,oral,0.9700506645205351,0.8787176053319974,0.99,4.0
32,BURST 95,9992,9528,14,450,0.9985328023475163,0.9549007817197835,0.9767167920336499,species,skin,0.8942036133097384,0.7946792582101816,0.16,4.0
33,BURST 95,9992,9446,139,407,0.9854981742305686,0.9586927839236781,0.9720954790771233,species,stool,0.9996356266083671,0.9779944051345434,0.81,4.0
34,BURST 95,9992,9467,29,496,0.9969460825610783,0.9502157984542808,0.9735809405076796,species,oral,0.989328546289585,0.9906885434412418,1.0,4.0
35,BURST 95,9992,9457,11,524,0.9988381918039713,0.9475002504759042,0.9731692211399378,species,skin,0.7652521182885836,0.743840142149461,0.16,4.0
36,BURST 95,9992,9456,120,416,0.9874686716791979,0.9578606158833063,0.9726646437812521,species,stool,0.9996697829185675,0.9789407375630215,0.79,4.0
37,BURST 95,9992,9266,35,691,0.9962369637673368,0.9306015868233404,0.9634192752953386,species,oral,0.9856352462073472,0.9662853505329559,0.96,4.0
38,BURST 95,9992,9487,11,494,0.9988418614445146,0.9505059613265204,0.9746739113855175,species,skin,0.7820973192614809,0.750269689164445,0.15,4.0
39,BURST 95,9992,9260,131,601,0.9860504738579491,0.939052834398134,0.9625516541280416,species,stool,0.9638584097407448,0.9610431796810197,0.81,4.0
40,BURST 95,9992,9419,32,541,0.9966141149084753,0.9456827309236948,0.971148422916085,species,oral,0.9916336770682262,0.990148556403803,0.99,4.0
41,BURST 95,9992,9243,11,738,0.9988113248325049,0.9260595130748422,0.9624354189536736,species,skin,0.8214776137713723,0.7617496453501591,0.16,4.0
42,BURST 95,9992,9293,111,588,0.988196512122501,0.9404918530513106,0.9643441825869058,species,stool,0.9841620707249914,0.9527207106899724,0.81,4.0
43,BURST 95,9992,9349,39,604,0.9958457605453771,0.9393147794634783,0.9675802700044277,species,oral,0.9785981544097951,0.9633930619334047,0.96,4.0
44,BURST 95,9992,9512,13,467,0.9986351706036746,0.9532017236196012,0.9759184471116379,species,skin,0.7301536709466934,0.7223645829343509,0.15,4.0
45,BURST 98,9992,4986,68,4938,0.9865453106450336,0.5024183796856106,0.7444818451653221,species,stool,0.9831374794230766,0.9509133202145401,0.56,4.0
46,BURST 98,9992,4959,12,5021,0.9975859987929994,0.4968937875751503,0.7472398931840748,species,oral,0.9866945883885957,0.9618399433780519,0.88,4.0
47,BURST 98,9992,4873,2,5117,0.9995897435897436,0.4877877877877878,0.7436887656887657,species,skin,0.6728290478334011,0.6994112097977523,0.13,4.0
48,BURST 98,9992,4854,80,5058,0.983785974868261,0.4897094430992736,0.7367477089837673,species,stool,0.9569719660269724,0.9287247352491966,0.6,4.0
49,BURST 98,9992,4976,17,4999,0.9965952333266573,0.4988471177944862,0.7477211755605717,species,oral,0.990608526649481,0.985984146410074,0.88,4.0
50,BURST 98,9992,4938,7,5047,0.9985844287158746,0.4945418127190786,0.7465631207174765,species,skin,0.8423374768010714,0.7359145100710882,0.15,4.0
51,BURST 98,9992,4907,76,5009,0.984748143688541,0.49485679709560304,0.739802470392072,species,stool,0.9886515460984999,0.9658366217809504,0.59,4.0
52,BURST 98,9992,5073,8,4911,0.998425506790002,0.5081129807692307,0.7532692437796163,species,oral,0.9712160688999544,0.8969419030266105,0.93,4.0
53,BURST 98,9992,4998,3,4991,0.9994001199760048,0.5003503854239664,0.7498752526999856,species,skin,0.7966102604620585,0.7263551473620362,0.11,4.0
54,BURST 98,9992,5019,71,4902,0.9860510805500983,0.5058965830057454,0.7459738317779219,species,stool,0.9692166650158838,0.9251343069744373,0.56,4.0
55,BURST 98,9992,4950,10,5032,0.9979838709677419,0.49589260669204566,0.7469382388298937,species,oral,0.9742298803321643,0.8961706095514657,0.91,4.0
56,BURST 98,9992,4947,10,5035,0.9979826507968529,0.49559206571829295,0.7467873582575729,species,skin,0.7839529108199237,0.7337956441312783,0.14,4.0
57,BURST 98,9992,4992,63,4937,0.9875370919881306,0.5027696646187935,0.7451533783034621,species,stool,0.9854974018617272,0.9494910023747088,0.58,4.0
58,BURST 98,9992,4963,14,5015,0.9971870604781997,0.49739426738825415,0.747290663933227,species,oral,0.9812661282506575,0.918741676633378,0.88,4.0
59,BURST 98,9992,5077,6,4909,0.9988195947275231,0.5084117764870819,0.7536156856073025,species,skin,0.7231669521288944,0.7262042520711294,0.13,4.0
