	strain	fasta_depth	log_fasta_depth	taxa_hits	tp	fp	aligner	hit_rate	precision	recall
55	kpneumoniae	312	2	44.0	44.0	0.0	bowtie2	0.14102564102564102	1.0	0.14102564102564102
56	kpneumoniae	329	2	54.0	54.0	0.0	bowtie2	0.1641337386018237	1.0	0.1641337386018237
57	ecoli	952	2	928.0	928.0	0.0	bowtie2	0.9747899159663865	1.0	0.9747899159663865
58	saureus	271	2	183.0	183.0	0.0	bowtie2	0.6752767527675276	1.0	0.6752767527675276
59	ecoli	91939	4	89541.0	88836.0	705.0	bowtie2	0.9739174887697277	0.9921265118772405	0.9662493609893517
60	kpneumoniae	315975	5	63220.0	47360.0	15860.0	bowtie2	0.20007912018355883	0.7491300221448909	0.1498852757338397
61	saureus	2659611	6	1798363.0	1778937.0	19426.0	bowtie2	0.676175200057452	0.989197953916979	0.6688711243862354
62	saureus	2576	3	1788.0	1788.0	0.0	bowtie2	0.6940993788819876	1.0	0.6940993788819876
63	kpneumoniae	316642	5	134364.0	107379.0	26985.0	utree	0.42434042230657965	0.7991649548986336	0.33911799445430485
64	ecoli	91	1	87.0	87.0	0.0	utree	0.9560439560439561	1.0	0.9560439560439561
65	kpneumoniae	3199	3	1236.0	1116.0	120.0	utree	0.3863707408565177	0.9029126213592233	0.3488590184432635
66	ecoli	105	2	105.0	105.0	0.0	utree	1.0	1.0	1.0
67	saureus	265531	5	229411.0	229411.0	0.0	utree	0.8639706851554055	1.0	0.8639706851554055
68	kpneumoniae	3102	3	1093.0	1067.0	26.0	utree	0.3523533204384268	0.9762122598353157	0.34397163120567376
69	ecoli	9109	3	8754.0	8650.0	104.0	utree	0.9610275551652212	0.9881197167009367	0.9496102755516522
70	kpneumoniae	315638	5	134629.0	107663.0	26966.0	utree	0.42652975877429206	0.7997014016296637	0.34109644592856375
71	ecoli	91918	4	88039.0	87044.0	995.0	utree	0.9577993428925782	0.9886981905746317	0.9469744772514632
72	ecoli	91859	4	87907.0	86865.0	1042.0	utree	0.9569775416671202	0.9881465639823905	0.9456340696066798
73	kpneumoniae	316	2	114.0	114.0	0.0	utree	0.36075949367088606	1.0	0.36075949367088606
74	ecoli	9241	3	8904.0	8798.0	106.0	utree	0.9635320852721567	0.9880952380952381	0.9520614652093929
75	saureus	282	2	235.0	235.0	0.0	utree	0.8333333333333334	1.0	0.8333333333333334
76	kpneumoniae	31771	4	13424.0	10761.0	2663.0	utree	0.42252368512165184	0.8016239570917759	0.33870510843221807
77	saureus	26657	4	23028.0	23028.0	0.0	utree	0.8638631503920171	1.0	0.8638631503920171
78	saureus	2651	3	2286.0	2286.0	0.0	utree	0.8623161071293851	1.0	0.8623161071293851
79	kpneumoniae	3138	3	1082.0	1082.0	0.0	utree	0.34480560866794135	1.0	0.34480560866794135
