,depth,score,profiler
0,-2.0,0.21052631578947367,burst
1,-2.0,0.6555555555555556,burst
2,-2.0,0.5857142857142856,burst
3,-2.0,0.3529411764705882,burst
4,-2.0,0.5357142857142857,burst
5,0.0,1.0,burst
6,0.0,0.5444444444444445,burst
7,0.0,0.5571428571428572,burst
8,0.0,0.38235294117647056,burst
9,0.0,0.48809523809523814,burst
10,-1.0,0.3157894736842105,burst
11,-1.0,0.45555555555555555,burst
12,-1.0,0.5142857142857142,burst
13,-1.0,0.11764705882352942,burst
14,-1.0,0.48809523809523814,burst
15,-4.0,0.10526315789473684,burst
16,-4.0,0.5111111111111111,burst
17,-4.0,0.15714285714285714,burst
18,-4.0,0.23529411764705882,burst
19,-4.0,0.29761904761904767,burst
20,-3.0,0.42105263157894735,burst
21,-3.0,0.43333333333333335,burst
22,-3.0,0.5428571428571429,burst
23,-3.0,0.2647058823529412,burst
24,-3.0,0.4880952380952381,burst
